context_len,gamma,alpha,base_energy_per_tok,base_latency_per_tok,spec_energy_per_tok,spec_latency_per_tok,latency_speedup,energy_ratio
128,3,0.82,0.2772592686930707,0.0037039706883206236,0.12438374501129715,0.0017737670880119392,2.088194506118659,0.4486188887304302
128,6,0.82,0.27866016469920385,0.003619797366923194,0.11629490904974726,0.0014765518632412088,2.4515206387517634,0.4173359661050955
128,9,0.82,0.28312595928191964,0.0037090978832010377,0.12599649090832016,0.001729987352861637,2.144002889423255,0.44501921062935984
256,3,0.82,0.5200524058693721,0.007868131087737614,0.21083986368650742,0.0033661620178614435,2.3374190089448863,0.40542041784047944
256,6,0.82,0.5202467647356362,0.007660408072600451,0.21912001078361834,0.0033995225827973,2.2533776099516536,0.4211847639167239
256,9,0.82,0.4970986316472588,0.0077962152081454406,0.19897213181935353,0.003480132586091212,2.2402063758444135,0.4002669071125992
384,3,0.82,0.7163832065563019,0.011436961309300386,0.36956872389524104,0.004937851144677777,2.316181872276086,0.5158813334999582
384,6,0.82,0.7055069159927668,0.012048850366075689,0.3293066996310334,0.005007826747847149,2.40600383614618,0.4667660828918218
384,9,0.82,0.6785507001428138,0.011796299982658335,0.34571991222247067,0.005608581640022019,2.103259030497419,0.5094975396086208
512,3,0.82,1.088566208347365,0.01575338199260538,0.4808928891096346,0.006735242186038955,2.3389481116595245,0.4417672397159146
512,6,0.82,0.8956429775325837,0.01482560973014794,0.36445388816994423,0.006095335145302041,2.432287868793356,0.40691871349673514
512,9,0.82,0.9598476490902098,0.016328830329964857,0.5293025338496518,0.009153124284386246,1.7839624834789154,0.551444319680681
640,3,0.82,1.4823577175944322,0.02966964872363557,0.716306086261287,0.015811261259781904,1.8764884240515565,0.4832208027517861
640,6,0.82,1.3237308924196405,0.023590861092088744,0.5816583409505016,0.010099365211725818,2.3358756315395635,0.439408299890389
640,9,0.82,1.388890749502692,0.02364641779644848,0.6761925616833517,0.011364272179806427,2.0807683433054893,0.4868579921966289
768,3,0.82,1.61177708389608,0.03259114739315313,0.9439482279758125,0.015011276662789098,2.1711109671266087,0.5856568116070038
768,6,0.82,1.8076648664639876,0.0323158138544386,0.9127261106753121,0.01400424739197695,2.307572335015473,0.5049199813573383
768,9,0.82,1.598651987885225,0.02858145172447419,0.8310469508701842,0.013757115815302779,2.077575860245467,0.5198423153806813
896,3,0.82,1.9550095585711846,0.030637308436780586,0.7936075744431581,0.013046842725572232,2.3482545993085724,0.4059353934940169
896,6,0.82,1.720145868590274,0.02757219815642505,0.579585101521769,0.01150459234796398,2.396625392928818,0.33693950734350303
896,9,0.82,1.8172496181683933,0.027373151686939916,0.8873784430527203,0.013324125477733682,2.05440512645156,0.4883085043358597
1024,3,0.82,1.798091787016806,0.02810330129007828,0.8881625226922794,0.01249186606619232,2.2497280343195776,0.4939472662659896
